,Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
,1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,"SHARES PARENT: JPMorgan Chase manages cybersecurity at global/APAC level via firm-wide policies; CG Statement FY2025 lists ""Technology and Cyber Security"" as board training but no local CISO named",SHARES PARENT: JPMorgan Chase manages GRC via firm-wide risk framework; Board Risk Mgmt Committee (Chair: Mahani Binti Amat) oversees CEO/Senior Officer risk responsibility,Wong Hooi Ching|Chief Executive Officer (likely also officer primarily responsible for financial management; no separate CFO named in available disclosures)|65|https://www.jpmorgan.com/content/dam/jpmorgan/documents/global/disclosures/my/2025-corporate-governance.pdf,SHARES PARENT: JPMorgan Chase manages risk via firm-wide framework; Board Risk Mgmt Committee (Chair: Mahani Binti Amat) oversees CEO/Senior Officer risk responsibility,"Lalitha A/P Rajah Manikam|Non-Independent Executive Director, Head of APAC Global Financial Crimes Compliance (GFCC) under CCOR at JP Morgan (appointed 15 Jan 2026, replacing Gail Koh De Josselin who resigned same date)|95|https://www.jpmorgan.com/content/dam/jpmorgan/documents/global/disclosures/my/2025-corporate-governance.pdf",SHARES PARENT: JPMorgan Chase manages IT at global/APAC level; no local CIO named in CG Statement FY2025,SHARES PARENT: JPMorgan Chase manages internal audit via firm-wide function; Board Audit Committee (Chair: Robert Armor Morris) provides oversight
,1,Licensed Banks,Kuwait Finance House (Malaysia) Berhad,"Role does not exist as separate position; Dr. Lam Wai Leong (Vice President, IT) handles IT including security matters; he is a member of WG11.1 Information Security Management and International Association of Engineers|85|https://www.kfh.com.my/malaysia/dam/jcr:f194f235-7260-419f-8b4d-ad3a9897b1f7/060226_Profile_Executive%20Management.pdf","Role does not exist as unified position; GRC functions split across: Nor Izad Mamud (AVP Risk Management & Strategy), Eddy Siow Swee Kim (VP Compliance), Mohd Zaki Abdullah (SVP Internal Audit, 22+ years GRC experience, former Chief Compliance Officer at Bank Muamalat)|85|https://www.kfh.com.my/malaysia/dam/jcr:f194f235-7260-419f-8b4d-ad3a9897b1f7/060226_Profile_Executive%20Management.pdf","Roslinawati Zainal|Assistant Vice President, Finance|85|https://www.kfh.com.my/malaysia/personal/about-us/board-of-directors.html","Nor Izad|Assistant Vice President, Risk Management|85|https://www.kfh.com.my/malaysia/personal/about-us/board-of-directors.html","Eddy Siow Swee Kim|Vice President, Compliance|90|https://www.kfh.com.my/malaysia/personal/about-us/board-of-directors.html","Dr. Lam Wai Leong|Vice President, IT|85|https://www.kfh.com.my/malaysia/personal/about-us/board-of-directors.html","Mohd Zaki Abdullah|Senior Vice President, Internal Audit|90|https://www.kfh.com.my/malaysia/personal/about-us/board-of-directors.html"
,1,Licensed Banks,Maybank Berhad,Devinder Singh (Group CISO) [LinkedIn/The Org],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank],Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo],Giorgio Migliarina (Group Chief Technology & Digital Officer),Azian Ismail (Chief Audit Executive) [TheOrg]
,1,Licensed Banks,Maybank Islamic Berhad,Devinder Singh (Group CISO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Shafiq Abdul Jabbar (Group CFO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Inn Yiow (Group Chief Compliance Officer) [Group-level: Maybank],Giorgio Migliarina (Group Chief Technology & Digital Officer) [Group-level: Maybank],"Malique Firdauz Ahmad Sidique (Group Chief Audit Executive, Maybank Group) [Official: freemalaysiatoday.com, conf 85 - Group-level, effective Oct 2025]"
,1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,Noorhisham Rusmani,"SHARES PARENT: Mizuho Bank manages GRC at regional/APAC level; Malaysia entity has separate CRO (Linda Loh) and CCO roles but no single Head of GRC mentioned in audited financial statements, Pillar 3, TCFD report, Board Charter, or BRMC TOR. GRC oversight split between Risk Management Dept and Compliance function","Toshiharu Fujiwara (CEO, also Officer primarily responsible for financial management)|Chief Executive Officer / CFO|95|https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/68eff8dcf5a47e0f072563ab_audited-financial-statements-for-the-financial-year-ended-31-march-2025.pdf|Mizuho Bank Malaysia FY2025 Annual Report (FYE 31 March 2025): 'I, Toshiharu Fujiwara, the officer primarily responsible for the financial management of Mizuho Bank (Malaysia) Berhad'. CEO also serves as CFO per statutory declaration. U.S. CPA, Waseda University. [Official Annual Report FY2025, conf 95]","Linda Loh|Chief Risk Officer|85|https://rocketreach.co/linda-loh-email_111019846|Chief Risk Officer at Mizuho Bank (Malaysia) Berhad, KL. Previously at Hong Leong Bank. MBA Finance, University of Malaya. [LinkedIn + RocketReach, conf 85]","SHARES PARENT: Mizuho Bank has confirmed Chief Compliance Officer (CCO) position locally per audited financial statements and BRMC TOR (approved 26 March 2026), but individual name NOT publicly disclosed in any regulatory filing, annual report, or website",SHARES PARENT: Mizuho Bank manages IT/CIO function at regional/global level; no CIO or Head of IT mentioned in any public document. BRMC TOR references reviewing IT/cyber security strategic plans and data center infrastructure but no local CIO role,"Lim Kim Seng (Chairman of Board Audit Committee) [Official: Mizuho MY Profile of Directors PDF + Board & Board Committees Composition PDF, conf 80 — board-level oversight. Chief Internal Auditor (CIA) management position referenced in Audited FS but explicitly not named. Lim Kim Seng is qualified CA (ICAS), ex-Group Chief Internal Auditor of Hong Leong Bank (retired 2014).]"
,1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Dominic Yew,Dr Priya Ranjan Sharma (CRO) + Doreen Keng Chun Ching (Compliance) [Group-level: OCBC],Ms Teoh Yin Meng,Dr Priya Ranjan Sharma,Ms Doreen Keng Chun Ching,Mr Hong Hee Loon (Head of Technology),Mr Victor Ong Hock Seng
,1,Licensed Banks,Public Bank Berhad,"Irene Deng (CISO) [RocketReach: rocketreach.co/irene-deng-email_276190689; prev Maybank+ACS Malaysia; Univ of Malaya, conf 65]",Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO),Loh Jasmine (CRO),Tan Shien Doon (CCO,Public Bank Group) [Official: publicbankgroup.com],Fam Yoke Fong (Senior GM
,1,Licensed Banks,Public Islamic Bank Berhad,"Irene Deng (Group CISO) [Group-level: Public Bank; RocketReach, conf 60]",Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO) [Group-level: Public Bank],Loh Jasmine (CRO) [Group-level: Public Bank],Tan Shien Doon (CCO) [Group-level: Public Bank],"Fam Yoke Fong (Senior GM, IT) [Group-level: Public Bank]",Lim Then Fui (Group Chief Internal Auditor) [Group-level: Public Bank]
,1,Licensed Banks,RHB Bank Berhad,Soon Yap (CISO) [LinkedIn],Azman Shah Md Yaman (Group Chief Legal & Governance Officer),Mohamed Bin Rastam Shahrom (Group CFO),Dr Chong Han Hwee (Group CRO),Fazlina Mohamed Ghazalli (Group CCO),Wong Kwang Leh (Group CTO),Tan Boon Ching (Group Chief Internal Auditor)
,1,Licensed Banks,RHB Islamic Bank Berhad,Soon Yap (CISO) [Group-level: RHB Bank],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Group-level: RHB Bank],Mohamed Bin Rastam Shahrom (Group CFO) [Group-level: RHB Bank],Dr Chong Han Hwee (Group CRO) [Group-level: RHB Bank],Fazlina Mohamed Ghazalli (Group CCO) [Group-level: RHB Bank],Wong Kwang Leh (Group CTO) [Group-level: RHB Bank],Tan Boon Ching (Group Chief Internal Auditor) [Group-level: RHB Bank]
,1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,"Sivanathan Subramaniam (CISO Malaysia) [LinkedIn: linkedin.com/posts/sivanathansubramaniam, conf 75]",Ong Gaik Ean (CRO) + Irene Tan (Compliance) [Group-level composite],Mushahid Syed (Interim CEO & CFO),Ong Gaik Ean (CRO),Irene Tan (Chief Compliance Officer),Joy Chowdhury (Chief Technology & Operations Officer),Praveen Sankaranarayan (Head of Audit)
,1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,"ROLE EXISTS, NAME NOT DISCLOSED — Chief Information and Security Officer (CISO) role confirmed in SMBC MY FY2025 Financial Statement (Senior Officers definition). Name not publicly disclosed in FS, Board PDF, or Pillar 3 Disclosure. [Official: smbc.co.jp/asia/malaysia financial statement 31 Mar 2025, conf 90]","ROLE EXISTS, NAME NOT DISCLOSED — Chief Integrity and Governance Officer (CIGO) role confirmed in SMBC MY FY2025 Financial Statement (Senior Officers definition). Name not publicly disclosed. [Official: smbc.co.jp/asia/malaysia financial statement 31 Mar 2025, conf 90]","Norihiro Oyanagi (officer primarily responsible for financial management per Section 251(1)(b) Companies Act 2016 statutory declaration) [Official: SMBC MY audited financial statements FY2024 & FY2025 (smbc.co.jp/asia/malaysia/financial-statement-31Mar2025.pdf), conf 78 — statutory CFO-equivalent; document prints statutory role description not literal ""CFO"" title]","Lim Tuang Ooi (Board Risk Management Committee Chairman, Ind. Non-Exec Director) [Official: smbc.co.jp/asia/malaysia/SMBCMY-board-of-directors.pdf, conf 85 - board-level oversight] | Anand Mahadevan (Executive Director, Regional Chief Risk Officer and Co-Head of Risk Management Dept for APAC and India at SMBC Singapore; appointed 26 May 2025) [Official: SMBC Malaysia FY2025 Audited Financial Statements PDF, conf 85. Regional CRO role covering APAC. Board-level CRO oversight also via Lim Tuang Ooi (BRMC Chairman, INED). Hiroshi Nishimura resigned 9 May 2025.]","ROLE EXISTS, NAME NOT DISCLOSED — Head of Compliance Department / Chief Compliance Officer role confirmed in SMBC MY FY2025 Financial Statement (Senior Officers definition). Name not publicly disclosed in FS, Board PDF, or Pillar 3 Disclosure. [Official: smbc.co.jp/asia/malaysia financial statement 31 Mar 2025, conf 90]","ROLE EXISTS, NAME NOT DISCLOSED — Head of Information Technology role confirmed in SMBC MY FY2025 Financial Statement (Senior Officers definition). Name not publicly disclosed. [Official: smbc.co.jp/asia/malaysia financial statement 31 Mar 2025, conf 90]","Lo Nyen Khing (Board Audit Committee Chairman, Ind. Non-Exec Director) [Official: smbc.co.jp/asia/malaysia/SMBCMY-board-of-directors.pdf, conf 85]. NOTE: SMBC MY also has Head of Internal Audit Department / Chief Internal Auditor per FY2025 FS Senior Officers definition, but name not publicly disclosed."
,1,Licensed Banks,UOB Malaysia Berhad,"Tobias Gondrom (Group CISO, UOB Group) [Web search, conf 75]",Tan Tii Lam (CRO) + Loke Chee Keen Daniel (Compliance) [Group-level composite],Chang Yeong Gung (CFO),Tan Tii Lam (CRO),Loke Chee Keen Daniel (Head Compliance),Mohamad Fazli Bin Mohamad Sarujee (Head Technology & Operations),Wong See Hong Bill (Head Internal Audit)
,2,Insurers,AIA Berhad,"Chee Lung Yuen (Director, Technology Risk Management & Business Continuity Management - CISO) [ASEAN Risk Awards industry profile: aseanriskawards.com/chee-lung-yuen/, conf 85]. CISO of AIA Bhd (Malaysia) since 2020. Not on AIA public EXCO leadership page (only top execs listed). Verified via credible regional risk-management industry body.",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Edwin Peh (CFO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Tan Teoh Guan (CRO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Tan Teoh Guan (CRO - oversees compliance monitoring) [Official: aia.com.my],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; Datin Veronica Selvanayagy (General Counsel) oversees Corporate Governance & Corporate Security, conf 40]"
,2,Insurers,AIA General Berhad,"Chee Lung Yuen (Director, Technology Risk Management & BCM - CISO) [Group-level: AIA Shared Services covers all AIA entities in Malaysia. Datin Veronica (General Counsel) bio confirms shared services model for 'all AIA entities in Malaysia including the three licensed insurance and takaful entities'. Conf 80]",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Nanthini Kandasamy (Director, Risk & Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; shared audit function with AIA Bhd, conf 40]"
