Priority_Class,Composite_Score,Tier,Segment,Institution_Name,Contacts_Found,Has_CISO,Has_GRC,Has_CRO,CISO_Name,CyberDSA_Action,Engagement_Owner,Rationale
A - Target,70,1,Licensed Banks,Public Bank Berhad,7,1,1,1,Irene Deng (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Public Islamic Bank Berhad,7,1,1,1,Irene Deng (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,RHB Bank Berhad,7,1,1,1,Soon Yap (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,RHB Islamic Bank Berhad,7,1,1,1,Soon Yap (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,7,1,1,1,Sivanathan Subramaniam (CISO Malaysia),Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,7,1,1,1,"ROLE EXISTS, NAME NOT DISCLOSED — Chief Informatio",Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,UOB Malaysia Berhad,7,1,1,1,"Tobias Gondrom (Group CISO, UOB Group)",Pre-schedule meeting before CyberDSA,,
A - Target,70,1,Licensed Banks,Bank Muamalat Malaysia Berhad,7,1,1,1,"Ts. Dr. Ismamuradi Abdul Kadir (CISO, CCISO)",Pre-schedule meeting before CyberDSA,,
A - Target,65,1,Licensed Banks,Credit Suisse (Malaysia) Berhad,6,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,63,1,Licensed Banks,BNP Paribas Malaysia Berhad,5,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,63,1,Licensed Banks,Citibank Berhad,5,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,AIA Berhad,7,1,1,1,"Chee Lung Yuen (Director, Technology Risk Manageme",Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,AIA General Berhad,7,1,1,1,"Chee Lung Yuen (Director, Technology Risk Manageme",Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,AmMetLife Insurance Berhad,7,1,1,1,Not publicly disclosed on AmMetLife management tea,Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Etiqa General Insurance Berhad,7,1,1,1,Devinder Singh Sardool Singh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Etiqa Life Insurance Berhad,7,1,1,1,Devinder Singh Sardool Singh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,7,1,1,1,"Vincent Chin (Division Head, Information Technolog",Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,7,1,1,1,"Vincent Chin — Division Head, Information Technolo",Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Hong Leong Assurance Berhad,7,1,1,1,Low Tek Chee — Chief Technology Officer (CISO-equi,Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Liberty General Insurance Berhad,7,1,1,1,Ganesan Vaithilingam — Chief Information Officer (,Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Lonpac Insurance Bhd,7,1,1,1,Lai Geng Farn (Chief Information Security Officer),Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Prudential Assurance Malaysia Berhad,7,1,1,1,"Tan Chia Chee (Head, Information Security Officer)",Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,7,1,1,1,Irfan Ismail (CISO & Head of Technology Risk),Pre-schedule meeting before CyberDSA,,
A - Target,62,2,Insurers,Zurich Life Insurance Malaysia Berhad,7,1,1,1,Not publicly disclosed on leadership page,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Takaful,AIA Public Takaful Berhad,7,1,1,1,"Chee Lung Yuen (Director, Technology Risk Manageme",Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Affin Investment Bank Berhad,7,1,1,1,Teng Wei Lim (Thomas) (Group CISO/GCISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Alliance Investment Bank Berhad,7,1,1,1,William Song (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,AmInvestment Bank Berhad,7,1,1,1,Malini Kanesamoorthy (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,BIMB Investment Bank Berhad,7,1,1,1,"Anthony Tai (Group CISO, Bank Islam)",Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Insurers,Berjaya Sompo Insurance Berhad,6,1,1,1,Mohamad Azman bin Soaed (Senior Manager - Informat,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,CIMB Investment Bank Berhad,7,1,1,1,Charles Samuel (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,1,Licensed Banks,Deutsche Bank (Malaysia) Berhad,3,1,0,1,"Jeng Yean Won (CISO Malaysia, Thailand & Vietnam)",Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Takaful,Etiqa Takaful Berhad,7,1,1,1,Devinder Singh Sardool Singh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Takaful,Family Takaful Berhad,7,1,1,1,Nazaruddin Adha bin Md Noor (Chief Technology Offi,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,7,1,1,1,Not publicly disclosed,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Hong Leong Investment Bank Berhad,7,1,1,1,Dr. Simon Hoh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,JCL Corporation Sdn Bhd,7,1,1,1,ENTITY NON-EXISTENT AS LICENSED INVESTMENT BANK,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Kenanga Investment Bank Berhad,7,1,1,1,Low Jia Yee — Chief Technology Officer (CISO-equiv,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Malaysia International Islamic Bank IB,7,1,1,1,ENTITY NON-EXISTENT,Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Maybank Investment Bank Berhad,7,1,1,1,Devinder Singh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,Public Investment Bank Berhad,7,1,1,1,Irene Deng (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Investment Banks,RHB Investment Bank Berhad,7,1,1,1,Soon Yap (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,60,2,Takaful,Zurich Takaful Malaysia Berhad,7,1,1,1,Not publicly disclosed on leadership page,Pre-schedule meeting before CyberDSA,,
A - Target,57,2,Insurers,Generali Insurance Malaysia Berhad,6,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,56,3,Development FIs,Agrobank Malaysia,7,1,1,1,"Nolan Jeffrey A/L Abdul Hai (Group CIO, CISO-equiv",Pre-schedule meeting before CyberDSA,,
A - Target,56,3,Development FIs,Bank Pembangunan Malaysia Berhad (BPMB),7,1,1,1,Hairil Izwar Abd Rahman (Group Chief Digital & Tec,Pre-schedule meeting before CyberDSA,,
A - Target,56,3,Development FIs,EXIM Bank Malaysia,7,1,1,1,Hairil Izwar Abd Rahman (Group Chief Digital & Tec,Pre-schedule meeting before CyberDSA,,
A - Target,56,3,Development FIs,SME Bank Berhad,7,1,1,1,Hairil Izwar Abd Rahman (Group Chief Digital & Tec,Pre-schedule meeting before CyberDSA,,
A - Target,55,2,Investment Banks,Bank Rakyat Investment Bank Berhad,6,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,55,2,Insurers,Chubb Insurance Malaysia Berhad,5,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,55,2,Insurers,FWD Insurance Berhad,5,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,55,2,Insurers,Generali Life Insurance Malaysia Berhad,5,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,55,2,Investment Banks,MIDF Amanah Investment Bank Berhad,6,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,54,3,Development FIs,Bank Rakyat Malaysia,6,1,1,1,Ts. Tahrizi Tahreb (Cybersecurity Professional),Pre-schedule meeting before CyberDSA,,
A - Target,54,1,Licensed Banks,ICBC (Malaysia) Berhad,2,0,0,0,,Pre-schedule meeting before CyberDSA,,
A - Target,53,2,Insurers,MCIS Insurance Berhad,5,0,0,1,,Pre-schedule meeting before CyberDSA,,
A - Target,53,2,Insurers,Manulife Insurance Berhad,5,0,0,1,,Pre-schedule meeting before CyberDSA,,
A - Target,53,2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,4,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,53,2,Insurers,Sun Life Malaysia Assurance Berhad,4,0,1,1,,Pre-schedule meeting before CyberDSA,,
A - Target,52,2,Takaful,General Takaful Berhad,5,0,1,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,1,0,0,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,2,Insurers,Kurnia Insurans (Malaysia) Berhad,4,0,1,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,1,0,0,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,2,Takaful,Syarikat Takaful Malaysia Berhad,5,0,1,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,2,Takaful,Takaful Am General Berhad,5,0,1,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,2,Takaful,Takaful IKHLAS Berhad,5,0,1,0,,Pre-schedule meeting before CyberDSA,,
A - Target,52,1,Licensed Banks,Bank of America Malaysia Berhad,1,0,0,0,,Pre-schedule meeting before CyberDSA,,
A - Target,51,2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,4,0,0,1,,Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,CIMB Petronas Visa Card,7,1,1,1,Charles Samuel (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,Hong Leong Bank AirMiles Card,7,1,1,1,Dr. Simon Hoh (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,51,2,Takaful,Manulife Takaful Malaysia Berhad,5,0,0,1,,Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,Maybank Cash & Go Prepaid Card,7,1,1,1,Devinder Singh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,Maybank Singapore Airlines Enrich Card,7,1,1,1,Devinder Singh (Group CISO),Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,PayNet Card (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Pre-schedule meeting before CyberDSA,,
A - Target,51,2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,5,0,0,1,,Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,RHB Shell Visa Card,7,1,1,1,Soon Yap (CISO),Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,Standard Chartered Shopee Visa Card,7,1,1,1,Sivanathan Subramaniam (CISO Malaysia),Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,Touch n Go Visa Prepaid Card,7,1,1,1,Suresh Balachandran,Pre-schedule meeting before CyberDSA,,
A - Target,51,4,Card Schemes,UOB Lazada Visa Card,7,1,1,1,"Tobias Gondrom (Group CISO, UOB Group)",Pre-schedule meeting before CyberDSA,,
B - Engage,49,4,E-Money,Axiata Digital Services Sdn Bhd (Boost),7,1,1,1,Shankar Krishnan,Send collateral + invite to booth,,
B - Engage,49,3,Development FIs,Bank Simpanan Nasional (BSN),5,0,1,1,,Send collateral + invite to booth,,
B - Engage,49,4,E-Money,CIMB OctoPay (CIMB Bank),7,1,1,1,Charles Samuel (Group CISO),Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,DuitNow (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,FPX (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,JomPAY (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,4,E-Money,MAE by Maybank (Maybank Islamic),7,1,1,1,Devinder Singh (Group CISO),Send collateral + invite to booth,,
B - Engage,49,4,E-Money,MAE by Maybank (Maybank2u),7,1,1,1,Devinder Singh (Group CISO),Send collateral + invite to booth,,
B - Engage,49,2,Insurers,MSIG Insurance (Malaysia) Bhd,3,0,0,1,,Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,Me2U (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,3,Development FIs,PUNB,5,0,1,1,,Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,PayDirect (by PayNet),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,4,Payment Operators,PayNet (PayNet Malaysia Sdn Bhd),7,1,1,1,"Meling Mudin (Chief Information Security Officer, ",Send collateral + invite to booth,,
B - Engage,49,2,Insurers,Sun Life Malaysia Takaful Berhad,3,0,0,1,,Send collateral + invite to booth,,
B - Engage,49,4,E-Money,TNG Digital Sdn Bhd,7,1,1,1,Suresh Balachandran,Send collateral + invite to booth,,
B - Engage,48,2,Insurers,Allianz Life Insurance Malaysia Berhad,3,0,0,0,,Send collateral + invite to booth,,
B - Engage,47,2,Takaful,Prudential BSN Takaful Berhad,3,0,0,1,,Send collateral + invite to booth,,
B - Engage,47,3,Development FIs,Tekun Nasional,5,0,0,1,,Send collateral + invite to booth,,
B - Engage,46,2,Takaful,Allianz Takaful Berhad,3,0,0,0,,Send collateral + invite to booth,,
B - Engage,44,3,Development FIs,LPPSA,4,0,0,0,,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,Amanah Saham Nasional Berhad (ASNB),7,1,1,1,Aishah Farha Mohd Raih (CISO),Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,CIMB (Khazanah-linked),7,1,1,1,Charles J. Samuel (Group CISO / Technology Risk Ma,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,KWSP Investment Division (Alternative Assets),7,1,1,1,Jasmine Goh (Head of Department – Digital Security,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,KWSP Investment Division (Direct Investments),7,1,1,1,Jasmine Goh (Head of Department – Digital Security,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,KWSP Investment Division (Real Estate),7,1,1,1,Jasmine Goh (Head of Department – Digital Security,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,Kumpulan Wang Simpanan Pekerja (KWSP),7,1,1,1,Jasmine Goh (Head of Digital Security),Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,Lembaga Tabung Haji,7,1,1,1,Shamsul Kamal Hussein Kamal (Chief Information Tec,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,Maybank (Khazanah-linked),7,1,1,1,DUPLICATE OF MAYBANK BERHAD,Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,PNB Capital Berhad,7,1,1,1,"Aishah Farha Mohd Raih (PNB Group CISO, inherited)",Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,PNB Equity Fund Berhad,7,1,1,1,"Aishah Farha Mohd Raih (PNB Group CISO, inherited)",Send collateral + invite to booth,,
B - Engage,43,5,GLC-Linked,Permodalan Nasional Berhad (PNB),7,1,1,1,Aishah Farha Mohd Raih (CISO),Send collateral + invite to booth,,
B - Engage,41,3,MSBs,BigPay Malaysia Sdn Bhd,4,1,0,0,Angus Thorn,Send collateral + invite to booth,,
B - Engage,41,3,MSBs,MoneyMatch Sdn Bhd,4,1,0,0,Poorya (Chief Information & Security Officer),Send collateral + invite to booth,,
B - Engage,41,4,E-Money,Setel by PETRONAS Dagangan Berhad,5,0,1,0,,Send collateral + invite to booth,,
B - Engage,40,3,MSBs,Wise (formerly TransferWise) Malaysia Sdn Bhd,4,0,1,0,,Send collateral + invite to booth,,
C - Monitor,39,3,MSBs,Instarem Sdn Bhd,4,0,0,1,,Include in mailing list,,
C - Monitor,38,5,GLC-Linked,Sarawak State Financial Corporation (SSFC),6,0,1,1,,Include in mailing list,,
C - Monitor,36,6,Fintech Sandbox,Boost Bank Berhad,7,1,1,1,Shankar Krishnan,Include in mailing list,,
C - Monitor,36,5,GLC-Linked,Khazanah Nasional Berhad,5,0,1,1,,Include in mailing list,,
C - Monitor,36,5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),5,0,1,1,,Include in mailing list,,
C - Monitor,35,4,Card Schemes,AmBank AirAsia Visa Card,1,0,1,0,,Include in mailing list,,
C - Monitor,35,5,GLC-Linked,Johor Corporation (JCorp),5,0,1,0,,Include in mailing list,,
C - Monitor,34,3,MSBs,GrabPay Malaysia Sdn Bhd,2,0,0,0,,Include in mailing list,,
C - Monitor,34,5,GLC-Linked,Permodalan BSN Berhad (PBSNB),4,0,1,1,,Include in mailing list,,
C - Monitor,34,4,E-Money,Razer Pay Malaysia Sdn Bhd,1,1,0,0,ENTITY DEFUNCT,Include in mailing list,,
C - Monitor,33,4,E-Money,ShopeePay Malaysia Sdn Bhd,2,0,0,0,,Include in mailing list,,
C - Monitor,32,5,GLC-Linked,MARA (Majlis Amanah Rakyat),4,0,0,1,,Include in mailing list,,
C - Monitor,32,3,MSBs,SenangPay Sdn Bhd,1,0,0,0,,Include in mailing list,,
C - Monitor,32,3,MSBs,Wallex Sdn Bhd,1,0,0,0,,Include in mailing list,,
C - Monitor,32,3,MSBs,Xendit Technologies (Malaysia) Sdn Bhd,1,0,0,0,,Include in mailing list,,
C - Monitor,31,4,E-Money,AEON Wallet (AEON Credit),1,0,0,0,,Include in mailing list,,
C - Monitor,31,6,Fintech Sandbox,GX Bank Berhad,6,0,1,1,,Include in mailing list,,
C - Monitor,30,3,MSBs,2C2P (Malaysia) Sdn Bhd,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,MSBs,Billplz Sdn Bhd,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,MSBs,CurrencyFair (Malaysia) Sdn Bhd,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,MSBs,G2G Online (Malaysia) Sdn Bhd,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,MSBs,I.Destinasi Sdn Bhd (IDSB),0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Angkatan Tentera,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Guru Malaysia,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Johor,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi KL,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Kakitangan Kerajaan,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Kedah,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Kelantan,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Labuan,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Melaka,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Negeri Sembilan,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Pahang,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Perak,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Perlis,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Polis Diraja Malaysia,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Pulau Pinang,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Putrajaya,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Sabah,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Sarawak,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Selangor,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Tentera Malaysia,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,Cooperatives,Koperasi Terengganu,0,0,0,0,,Include in mailing list,,
C - Monitor,30,3,MSBs,ToyyibPay Sdn Bhd,0,0,0,0,,Include in mailing list,,
D - Watch,29,4,E-Money,Alipay+ Malaysia (Ant Group),0,0,0,0,,Database only,,
D - Watch,29,4,E-Money,WeChat Pay Malaysia Sdn Bhd,0,0,0,0,,Database only,,
D - Watch,28,5,GLC-Linked,PNB Income Fund Berhad,1,1,0,0,ENTITY LIKELY NON-EXISTENT,Database only,,
D - Watch,27,5,GLC-Linked,Syarikat Jaminan Pembiayaan Perniagaan (SJPP),1,0,1,0,,Database only,,
D - Watch,25,6,Fintech Sandbox,AEON Bank (M) Berhad,3,0,1,1,,Database only,,
D - Watch,25,6,Fintech Sandbox,Ryt Bank Berhad,4,0,0,1,,Database only,,
D - Watch,24,6,Fintech Registered,iPay88 (M) Sdn Bhd,2,1,0,1,Alex Wah,Database only,,
D - Watch,23,5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),0,0,0,0,,Database only,,
D - Watch,23,5,GLC-Linked,Cradle Fund Sdn Bhd,0,0,0,0,,Database only,,
D - Watch,23,5,GLC-Linked,Iskandar Waterfront City,0,0,0,0,,Database only,,
D - Watch,23,5,GLC-Linked,Penang State Development Corporation (PSDC),0,0,0,0,,Database only,,
D - Watch,23,5,GLC-Linked,Sabah State Financial Corporation (SSFC),0,0,0,0,,Database only,,
D - Watch,18,6,Fintech Sandbox,KAF Digital Bank,1,0,0,0,,Database only,,
D - Watch,18,6,Fintech Sandbox,KAF Digital Bank Berhad,1,0,0,0,,Database only,,
D - Watch,18,6,Fintech Sandbox,Soft Space Sdn Bhd,1,0,0,0,,Database only,,
D - Watch,16,6,Fintech Sandbox,Jirnexu (M) Sdn Bhd,0,0,0,0,,Database only,,
D - Watch,16,6,Fintech Sandbox,KDI Save Sdn Bhd,0,0,0,0,,Database only,,
D - Watch,16,6,Fintech Sandbox,SeaBank Malaysia Berhad,0,0,0,0,,Database only,,
D - Watch,16,6,Fintech Registered,Stripe Payments Malaysia Sdn Bhd,0,0,0,0,,Database only,,
