stakeholder_id,name,role,organisation,relationship_status,priority,created_date,last_contact_date,days_since_contact,days_since_creation,staleness,engagement_depth,last_contact_summary,next_action,primary_owner,secondary_owner,engagement_target,next_target_date
STK-20260804-001,STK-20260804-001,Head of Cyber Solutions Department,CyberSecurity Malaysia,active,high,2026-08-04,2026-08-17,1,14,fresh,productive,2026-08-17 — Included as primary TO recipient on CyberDSA 2026 alignment email,"CyberDSA 2026 Partnership, Marketing & Commercial Alignment session (date TBD, Hadri coordinating)",,,,
STK-20260804-002,STK-20260804-002,Head of Business Development and Industry Affairs,CyberSecurity Malaysia,active,high,2026-08-04,2026-08-17,1,14,fresh,productive,2026-08-17 — Cc'd on CyberDSA 2026 alignment email (strategic level),"CyberDSA 2026 Partnership, Marketing & Commercial Alignment session (date TBD)",,,,
STK-20260804-003,STK-20260804-003,Practice Technical Authority (VoronCitadel + GovSe,Aras Integrasi Sdn Bhd,active,high,2026-08-04,2026-08-04,14,14,stale,productive,2026-08-04 — CC'd on GTM announcement email to CSM,"Product review of CMO Outreach Package — claims validation, diagnostic feasibility, demo readiness, ",,,,
STK-20260804-004,STK-20260804-004,,CyberSecurity Malaysia,active,high,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-010,STK-20260804-010,,CyberSecurity Malaysia,new,high,2026-08-04,,N/A,14,never-engaged,no-contact,,,,,,
STK-20260808-001,STK-20260808-001,Chief Operating Officer (COO),WIG/MTAI (Aras is part of WIG/MTAI),active,high,2026-08-08,2026-08-07,11,10,stale,productive,2026-08-07 — Directed DAF to coordinate with Shuhada on account contact list approach,"Working session (proposed by DAF, pending Kenny's agreement)",,,,
STK-20260811-001,STK-20260811-001,,Aras Integrasi Sdn Bhd,active,high,2026-08-11,,N/A,7,new-stale,assigned-active,,,,,,
STK-20260813-002,STK-20260813-002,,Jabatan Digital Negara (JDN),active,high,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-003,STK-20260813-003,,Jabatan Digital Negara (JDN),active,high,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-008,STK-20260813-008,,CyberSecurity Malaysia,new,high,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260815-007-shamsul-azri,STK-20260815-007-shamsul-azri,Chief Secretary to the Government (KSN) / CSCDC Bo,Jabatan Perdana Menteri (JPM),new,high,2026-08-15,,N/A,3,new,no-contact,"None direct — identified via intelligence (Bernama, 4+ sources)",TBD — via CSCDC formal channels,,,,
STK-20260815-008-megat-zuhairy,STK-20260815-008-megat-zuhairy,CEO of NACSA / Regulatory Shepherd for CSCDC,National Cyber Security Agency (NACSA),new,high,2026-08-15,,N/A,3,new,no-contact,"None direct — identified via intelligence (PKI Consortium PQC Conference 2025, NCSS 2026)",TBD — target Q3 2026 during CSCDC mobilisation,,,,
STK-20260815-009-nushirwan,STK-20260815-009-nushirwan,Director-General of National Security (MKN DG) / O,Majlis Keselamatan Negara (MKN),new,high,2026-08-15,,N/A,3,new,no-contact,"None direct — identified via intelligence (NCSS 2026, 7-9 Jul 2026)",TBD — target Q3 2026,,,,
STK-20260815-010-roshdi-ahmad,STK-20260815-010-roshdi-ahmad,Acting CEO of CyberSecurity Malaysia / Transition ,CyberSecurity Malaysia (CSM),developing,high,2026-08-15,,N/A,3,new,developing,"Indirect — via CSM partnership activities (MoU, training)",TBD — via CSM formal channels,,,,
STK-20260815-011-muhammad-rezal,STK-20260815-011-muhammad-rezal,PTPKM Director / Cryptology Authority for CSCDC,Pusat Teknologi Pengurusan dan Kriptolog,new,high,2026-08-15,,N/A,3,new,no-contact,None direct — identified via intelligence (CJ-1 leadership watch),TBD — target Q3 2026,,,,
STK-20260815-014-mohamad-salim,STK-20260815-014-mohamad-salim,Chairman of MCMC,Malaysian Communications and Multimedia ,new,high,2026-08-15,,N/A,3,new,no-contact,None direct — identified via intelligence cycles,TBD — MCMC proposal/pitch preparation (ACT-20260815-006),,,,
STK-20260815-015-fabian-bigar,STK-20260815-015-fabian-bigar,"Secretary-General, Ministry of Digital — CSM Board",Ministry of Digital (KKD),new,high,2026-08-15,,N/A,3,new,no-contact,None direct — identified via intelligence cycles,TBD — via CSM board or Ministry of Digital channels,,,,
STK-20260815-016-che-nasir,STK-20260815-016-che-nasir,"Managing Director, Aras Integrasi Sdn Bhd",Aras Integrasi Sdn Bhd,active,high,2026-08-15,,N/A,3,new,assigned-active,Ongoing — DAF reports to MD within Aras Integrasi organisational structure,Ongoing internal alignment,,,,
STK-20260815-018-fahmi-fadzil,STK-20260815-018-fahmi-fadzil,Minister of Communications,Ministry of Communications (KKD),new,high,2026-08-15,,N/A,3,new,no-contact,None direct — identified via intelligence cycles,TBD — via MCMC engagement pathway or policy channels,,,,
STK-20260803-001,STK-20260803-001,"Strategic engagement, commercial engagement, stake",ELSA Sdn Bhd,developing,medium,2026-08-03,,N/A,15,never-engaged,developing,,,,,,
STK-20260803-002,STK-20260803-002,"Technology Lead, Engineering-Robotics",ELSA Sdn Bhd,developing,medium,2026-08-03,,N/A,15,never-engaged,developing,,,,,,
STK-20260803-005,STK-20260803-005,Legal counsel — NDA review and vetting,MTAI,active,medium,2026-08-03,,N/A,15,never-engaged,assigned-active,,,,,,
STK-20260803-006,STK-20260803-006,CTO — MTAI. Legal advisor and AI infrastructure/pl,MTAI,active,medium,2026-08-03,,N/A,15,never-engaged,assigned-active,,,,,,
STK-20260803-010,STK-20260803-010,PMO official — specific role TBD,Prime Minister's Office (PMO),new,medium,2026-08-03,,N/A,15,never-engaged,no-contact,,,,,,
STK-20260803-011,STK-20260803-011,PMO official — specific role TBD,Prime Minister's Office (PMO),new,medium,2026-08-03,,N/A,15,never-engaged,no-contact,,,,,,
STK-20260804-005,STK-20260804-005,,CyberSecurity Malaysia,active,medium,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-006,STK-20260804-006,,CyberSecurity Malaysia,active,medium,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-007,STK-20260804-007,,CyberSecurity Malaysia,active,medium,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-008,STK-20260804-008,,CyberSecurity Malaysia,active,medium,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-009,STK-20260804-009,,CyberSecurity Malaysia,active,medium,2026-08-04,,N/A,14,never-engaged,assigned-active,,,,,,
STK-20260804-011,STK-20260804-011,,CyberSecurity Malaysia,new,medium,2026-08-04,,N/A,14,never-engaged,no-contact,,,,,,
STK-20260804-012,STK-20260804-012,,CyberSecurity Malaysia,new,medium,2026-08-04,,N/A,14,never-engaged,no-contact,,,,,,
STK-20260807-001,STK-20260807-001,,Universiti Teknologi MARA (UiTM),new,medium,2026-08-07,,N/A,11,never-engaged,no-contact,,,,,,
STK-20260807-002,STK-20260807-002,,Universiti Teknologi MARA (UiTM),new,medium,2026-08-07,,N/A,11,never-engaged,no-contact,,,,,,
STK-20260807-003,STK-20260807-003,,Universiti Teknologi MARA (UiTM),new,medium,2026-08-07,,N/A,11,never-engaged,no-contact,,,,,,
STK-20260807-004,STK-20260807-004,,Universiti Teknologi MARA (UiTM),new,medium,2026-08-07,,N/A,11,never-engaged,no-contact,,,,,,
STK-20260808-002,STK-20260808-002,CMO (Chief Marketing Officer),WIG/MTAI,new,medium,2026-08-08,2026-08-08,10,10,stale,initial-contact,2026-08-08 — DAF requested campaign messaging and channel guidance,"Working session (proposed, pending agreement)",,,,
STK-20260808-003,STK-20260808-003,Sales,Aras Integrasi / MTAI,new,medium,2026-08-08,,N/A,10,never-engaged,no-contact,No direct engagement yet — Kenny directed coordination on Aug 7,DAF to initiate coordination discussion,,,,
STK-20260810-003,STK-20260810-003,GovSec Product Manager (soon to be onboarded),Aras Integrasi Sdn Bhd,new,medium,2026-08-10,,N/A,8,never-engaged,no-contact,,,,,,
STK-20260812-001,STK-20260812-001,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-002,STK-20260812-002,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-003,STK-20260812-003,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-004,STK-20260812-004,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-005,STK-20260812-005,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-006,STK-20260812-006,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-007,STK-20260812-007,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-008,STK-20260812-008,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-009,STK-20260812-009,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-010,STK-20260812-010,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-011,STK-20260812-011,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-012,STK-20260812-012,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-013,STK-20260812-013,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-014,STK-20260812-014,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-015,STK-20260812-015,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-016,STK-20260812-016,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260812-017,STK-20260812-017,,CyberSecurity Malaysia,new,medium,2026-08-12,,N/A,6,new-stale,no-contact,,,,,,
STK-20260813-004,STK-20260813-004,,Jabatan Digital Negara (JDN),active,medium,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-005,STK-20260813-005,,Jabatan Digital Negara (JDN),active,medium,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-006,STK-20260813-006,,Kementerian Kesihatan Malaysia (MOH),active,medium,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-007,STK-20260813-007,,Pejabat SUK Negeri Sembilan,active,medium,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-009,STK-20260813-009,,CyberSecurity Malaysia,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-010,STK-20260813-010,,CyberSecurity Malaysia,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-011,STK-20260813-011,,CyberSecurity Malaysia,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-012,STK-20260813-012,,CyberSecurity Malaysia,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-013,STK-20260813-013,Head of Business Development and Industry Affairs,CyberSecurity Malaysia (CSM),new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-014,STK-20260813-014,Sr. Stakeholder Engagement & Strategic Marketing E,Wong International Group Sdn Bhd (WIG),active,medium,2026-08-13,,N/A,5,new-stale,assigned-active,,,,,,
STK-20260813-015,STK-20260813-015,Event Activation Support,WIG/MTAI,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260813-016,STK-20260813-016,Event Activation Support,WIG/MTAI,new,medium,2026-08-13,,N/A,5,new-stale,no-contact,,,,,,
STK-20260815-001,STK-20260815-001,PA to En. Zulfeka (Head of Business Development an,CyberSecurity Malaysia,new,medium,2026-08-15,2026-08-14,4,3,active,initial-contact,2026-08-14 — Introduced during Voron Citadel technical training session,"CSM higher management meeting (week of Aug 18, date pending) — formal PIC appointment discussion",,,,
STK-20260815-004,STK-20260815-004,Marketing Team,WIG,new,medium,2026-08-15,,N/A,3,new,no-contact,,,,,,
STK-20260815-005,STK-20260815-005,TBD,WIG,new,medium,2026-08-15,,N/A,3,new,no-contact,,,,,,
STK-20260815-006,STK-20260815-006,TBD,Aras Integrasi Sdn Bhd,new,medium,2026-08-15,,N/A,3,new,no-contact,,,,,,
STK-20260815-012-wan-roshaimi,STK-20260815-012-wan-roshaimi,CSM Chief Technology Officer (CTO),CyberSecurity Malaysia (CSM),new,medium,2026-08-15,,N/A,3,new,no-contact,None direct — identified via intelligence (CJ-1 leadership watch),TBD — via CSM technical channels,,,,
STK-20260815-013-amirudin-abdul-wahab,STK-20260815-013-amirudin-abdul-wahab,Former CEO of CyberSecurity Malaysia (retired 13 J,CyberSecurity Malaysia (CSM) — Former CE,dormant,medium,2026-08-15,,N/A,3,new,dormant,None direct — retired before DAF's current engagement cycle,TBD — no active engagement pathway,,,,
STK-20260815-017-dennis-looi,STK-20260815-017-dennis-looi,"Deputy CEO, Aras Integrasi Sdn Bhd",Aras Integrasi Sdn Bhd,active,medium,2026-08-15,,N/A,3,new,assigned-active,Ongoing — internal Aras Integrasi leadership,Ongoing internal alignment,,,,
STK-20260815-019-siti-aishah-omar,STK-20260815-019-siti-aishah-omar,(see STK-20260815-001),CyberSecurity Malaysia,dormant,medium,2026-08-15,,N/A,3,new,dormant,See STK-20260815-001,See STK-20260815-001,,,,
STK-20260816-001,STK-20260816-001,Exhibition Coordinator / PIC for CyberDSA 2026,Aerosea Exhibitions Sdn Bhd,new,medium,2026-08-16,,N/A,2,new,no-contact,"Aug 14, 2026 — Amelia established direct communication (per progress update email)",Booth mock-up/design sharing (pending from Mr Hazdi),,,,
STK-20260817-001,STK-20260817-001,Cyber Solutions Team Member,CyberSecurity Malaysia (CSM),active,medium,2026-08-17,2026-08-14,4,1,active,productive,2026-08-14 — Voron Citadel technical training at CSM (Meranti Meeting Room),"CyberDSA 2026 Partnership, Marketing & Commercial Alignment session (date TBD, Hadri coordinating)",,,,
STK-20260803-003,STK-20260803-003,TBD (present at ELSA HQ meeting),ELSA Sdn Bhd,new,low,2026-08-03,,N/A,15,never-engaged,no-contact,,,,,,
STK-20260803-004,STK-20260803-004,"'TBD (present at ELSA HQ meeting, email domain: el",ELSA Group,new,low,2026-08-03,,N/A,15,never-engaged,no-contact,,,,,,
STK-20260811-002,STK-20260811-002,TBD,Aras Integrasi Sdn Bhd,new,low,2026-08-11,,N/A,7,new-stale,no-contact,,,,,,
STK-20260811-003,STK-20260811-003,TBD,Aras Integrasi Sdn Bhd,new,low,2026-08-11,,N/A,7,new-stale,no-contact,,,,,,
